,pred,cellid
0,2,4379
1,2,4380
2,2,4381
3,2,4382
4,2,4383
5,2,4384
6,2,4385
7,2,4386
8,2,4387
9,2,4388
10,2,4389
11,2,4390
12,2,4391
13,2,4392
14,2,4393
15,2,4496
16,2,4497
17,2,4498
18,2,4499
19,2,4500
20,2,4501
21,2,4502
22,2,4503
23,2,4504
24,2,4505
25,2,4506
26,2,4507
27,2,4508
28,2,4509
29,2,4510
30,2,4613
31,2,4614
32,2,4615
33,2,4616
34,2,4617
35,2,4618
36,2,4619
37,2,4620
38,2,4621
39,2,4622
40,2,4623
41,2,4624
42,2,4625
43,2,4626
44,2,4627
45,2,4730
46,2,4731
47,2,4732
48,2,4733
49,2,4734
50,2,4735
51,2,4736
52,2,4737
53,2,4738
54,2,4739
55,2,4740
56,2,4741
57,2,4742
58,2,4743
59,2,4744
60,2,4847
61,2,4848
62,2,4849
63,0,4850
64,2,4851
65,2,4852
66,2,4853
67,2,4854
68,2,4855
69,2,4856
70,2,4857
71,2,4858
72,2,4859
73,2,4860
74,2,4861
75,2,4964
76,2,4965
77,0,4966
78,0,4967
79,2,4968
80,2,4969
81,2,4970
82,2,4971
83,2,4972
84,2,4973
85,2,4974
86,2,4975
87,2,4976
88,2,4977
89,2,4978
90,2,5081
91,2,5082
92,1,5083
93,1,5084
94,0,5085
95,0,5086
96,2,5087
97,2,5088
98,2,5089
99,2,5090
100,2,5091
101,2,5092
102,2,5093
103,2,5094
104,2,5095
105,2,5198
106,0,5199
107,1,5200
108,1,5201
109,0,5202
110,2,5203
111,2,5204
112,0,5205
113,2,5206
114,2,5207
115,2,5208
116,2,5209
117,2,5210
118,2,5211
119,2,5212
120,2,5315
121,2,5316
122,0,5317
123,0,5318
124,2,5319
125,2,5320
126,2,5321
127,2,5322
128,2,5323
129,2,5324
130,2,5325
131,2,5326
132,2,5327
133,2,5328
134,2,5329
135,2,5432
136,0,5433
137,0,5434
138,0,5435
139,2,5436
140,2,5437
141,2,5438
142,2,5439
143,2,5440
144,2,5441
145,2,5442
146,2,5443
147,2,5444
148,2,5445
149,2,5446
150,2,5549
151,2,5550
152,0,5551
153,2,5552
154,2,5553
155,2,5554
156,2,5555
157,2,5556
158,2,5557
159,2,5558
160,2,5559
161,2,5560
162,2,5561
163,2,5562
164,2,5563
165,2,5666
166,0,5667
167,0,5668
168,2,5669
169,2,5670
170,2,5671
171,2,5672
172,2,5673
173,2,5674
174,2,5675
175,2,5676
176,2,5677
177,2,5678
178,2,5679
179,2,5680
180,2,5783
181,2,5784
182,2,5785
183,2,5786
184,2,5787
185,2,5788
186,2,5789
187,2,5790
188,2,5791
189,2,5792
190,2,5793
191,2,5794
192,2,5795
193,2,5796
194,2,5797
195,2,5900
196,2,5901
197,2,5902
198,2,5903
199,2,5904
200,2,5905
201,2,5906
202,2,5907
203,2,5908
204,2,5909
205,2,5910
206,2,5911
207,2,5912
208,2,5913
209,2,5914
210,2,5997
211,2,5998
212,2,5999
213,2,6000
214,2,6017
215,2,6018
216,2,6019
217,2,6020
218,2,6021
219,2,6022
220,2,6023
221,2,6024
222,2,6025
223,2,6026
224,2,6027
225,2,6028
226,2,6029
227,2,6030
228,2,6031
229,2,6114
230,2,6115
231,2,6116
232,2,6117
233,2,6231
234,2,6232
235,2,6233
236,2,6234
237,2,6348
238,2,6349
239,2,6350
240,2,6351
