,pred,cellid
0,0,4379
1,0,4380
2,0,4381
3,0,4382
4,0,4383
5,0,4384
6,0,4385
7,0,4386
8,0,4387
9,0,4388
10,0,4496
11,0,4497
12,0,4498
13,0,4499
14,0,4500
15,0,4501
16,0,4502
17,0,4503
18,0,4504
19,0,4505
20,0,4613
21,0,4614
22,0,4615
23,0,4616
24,0,4617
25,0,4618
26,0,4619
27,0,4620
28,0,4621
29,0,4622
30,0,4730
31,0,4731
32,0,4732
33,0,4733
34,0,4734
35,0,4735
36,0,4736
37,0,4737
38,0,4738
39,0,4739
40,0,4847
41,0,4848
42,0,4849
43,0,4850
44,0,4851
45,0,4852
46,0,4853
47,0,4854
48,0,4855
49,0,4856
50,0,4964
51,0,4965
52,0,4966
53,2,4967
54,0,4968
55,0,4969
56,0,4970
57,0,4971
58,0,4972
59,0,4973
60,0,5081
61,0,5082
62,2,5083
63,1,5084
64,0,5085
65,0,5086
66,0,5087
67,0,5088
68,0,5089
69,0,5090
70,0,5198
71,0,5199
72,1,5200
73,1,5201
74,0,5202
75,0,5203
76,0,5204
77,0,5205
78,0,5206
79,0,5207
80,0,5315
81,0,5316
82,2,5317
83,2,5318
84,0,5319
85,0,5320
86,0,5321
87,0,5322
88,0,5323
89,0,5324
90,0,5432
91,0,5433
92,2,5434
93,0,5435
94,0,5436
95,0,5437
96,0,5438
97,0,5439
98,0,5440
99,0,5441
