,pred,cellid
0,1,4379
1,1,4380
2,1,4381
3,1,4382
4,1,4383
5,1,4384
6,1,4385
7,1,4386
8,1,4387
9,2,4388
10,0,4389
11,1,4390
12,1,4391
13,0,4392
14,0,4393
15,0,4496
16,1,4497
17,0,4498
18,0,4499
19,0,4500
20,0,4501
21,1,4502
22,1,4503
23,0,4504
24,2,4505
25,1,4506
26,1,4507
27,1,4508
28,0,4509
29,1,4510
30,0,4613
31,1,4614
32,1,4615
33,0,4616
34,0,4617
35,0,4618
36,0,4619
37,1,4620
38,2,4621
39,2,4622
40,1,4623
41,1,4624
42,2,4625
43,1,4626
44,2,4627
45,2,4730
46,2,4731
47,2,4732
48,2,4733
49,2,4734
50,2,4735
51,2,4736
52,2,4737
53,1,4738
54,1,4739
55,1,4740
56,1,4741
57,1,4742
58,0,4743
59,1,4744
60,2,4847
61,2,4848
62,0,4849
63,0,4850
64,2,4851
65,2,4852
66,2,4853
67,0,4854
68,2,4855
69,1,4856
70,1,4857
71,1,4858
72,1,4859
73,2,4860
74,1,4861
75,0,4964
76,0,4965
77,0,4966
78,0,4967
79,0,4968
80,2,4969
81,0,4970
82,0,4971
83,1,4972
84,1,4973
85,1,4974
86,1,4975
87,1,4976
88,2,4977
89,1,4978
90,2,5081
91,0,5082
92,0,5083
93,0,5084
94,0,5085
95,0,5086
96,2,5087
97,2,5088
98,1,5089
99,1,5090
100,1,5091
101,1,5092
102,1,5093
103,2,5094
104,1,5095
105,0,5198
106,0,5199
107,0,5200
108,0,5201
109,0,5202
110,2,5203
111,2,5204
112,0,5205
113,1,5206
114,1,5207
115,2,5208
116,2,5209
117,2,5210
118,2,5211
119,1,5212
120,2,5315
121,0,5316
122,0,5317
123,0,5318
124,2,5319
125,2,5320
126,1,5321
127,2,5322
128,2,5323
129,2,5324
130,2,5325
131,2,5326
132,2,5327
133,2,5328
134,2,5329
135,2,5432
136,0,5433
137,0,5434
138,0,5435
139,0,5436
140,2,5437
141,2,5438
142,2,5439
143,2,5440
144,2,5441
145,1,5442
146,1,5443
147,1,5444
148,1,5445
149,1,5446
150,0,5549
151,0,5550
152,0,5551
153,0,5552
154,0,5553
155,2,5554
156,1,5555
157,1,5556
158,2,5557
159,1,5558
160,0,5559
161,2,5560
162,1,5561
163,2,5562
164,2,5563
165,0,5666
166,0,5667
167,0,5668
168,2,5669
169,2,5670
170,1,5671
171,1,5672
172,0,5673
173,1,5674
174,1,5675
175,2,5676
176,1,5677
177,2,5678
178,1,5679
179,2,5680
180,0,5783
181,0,5784
182,2,5785
183,2,5786
184,2,5787
185,1,5788
186,1,5789
187,0,5790
188,2,5791
189,1,5792
190,1,5793
191,1,5794
192,2,5795
193,1,5796
194,2,5797
195,0,5900
196,0,5901
197,2,5902
198,1,5903
199,2,5904
200,1,5905
201,2,5906
202,0,5907
203,2,5908
204,1,5909
205,1,5910
206,2,5911
207,2,5912
208,2,5913
209,2,5914
210,0,6017
211,0,6018
212,2,6019
213,1,6020
214,2,6021
215,1,6022
216,1,6023
217,2,6024
218,2,6025
219,1,6026
220,1,6027
221,2,6028
222,2,6029
223,2,6030
224,2,6031
