,pred,cellid
0,1,38
1,1,39
2,1,40
3,1,154
4,1,155
5,1,156
6,1,157
7,1,158
8,2,159
9,2,160
10,1,271
11,1,272
12,1,273
13,1,274
14,2,275
15,2,276
16,2,277
17,1,278
18,2,285
19,1,286
20,2,288
21,1,289
22,2,388
23,1,389
24,1,390
25,1,391
26,2,392
27,2,393
28,2,394
29,2,395
30,1,397
31,2,401
32,2,402
33,2,403
34,1,404
35,2,405
36,1,406
37,1,501
38,0,502
39,2,503
40,2,504
41,2,505
42,2,506
43,1,507
44,1,508
45,1,509
46,2,510
47,1,511
48,1,512
49,1,513
50,1,514
51,1,515
52,2,516
53,1,517
54,2,518
55,2,519
56,2,520
57,2,521
58,2,522
59,1,523
60,1,617
61,2,618
62,2,621
63,2,622
64,1,623
65,1,624
66,1,625
67,1,626
68,2,627
69,2,628
70,1,629
71,1,630
72,1,631
73,1,632
74,1,633
75,2,634
76,2,635
77,2,636
78,2,637
79,2,638
80,1,639
81,0,640
82,1,641
83,1,734
84,2,735
85,2,736
86,2,738
87,2,739
88,1,740
89,1,741
90,1,742
91,1,743
92,1,744
93,1,745
94,1,746
95,1,747
96,1,748
97,1,749
98,2,750
99,2,751
100,2,752
101,2,753
102,2,754
103,1,755
104,1,756
105,2,757
106,2,758
107,2,759
108,1,851
109,1,852
110,2,853
111,2,856
112,2,857
113,1,858
114,1,859
115,1,860
116,1,861
117,1,862
118,1,863
119,1,864
120,1,865
121,2,866
122,2,867
123,2,868
124,1,869
125,2,870
126,2,871
127,2,872
128,2,873
129,2,874
130,2,875
131,2,876
132,2,877
133,1,969
134,2,970
135,2,971
136,2,972
137,2,974
138,2,975
139,1,976
140,1,977
141,1,978
142,0,979
143,1,980
144,2,981
145,2,982
146,2,983
147,2,984
148,2,985
149,2,986
150,2,987
151,2,988
152,2,989
153,2,990
154,2,991
155,2,992
156,2,993
157,2,994
158,1,1086
159,2,1087
160,2,1088
161,2,1089
162,2,1090
163,2,1091
164,2,1092
165,1,1093
166,1,1094
167,1,1095
168,1,1096
169,0,1097
170,0,1098
171,0,1099
172,1,1100
173,2,1101
174,2,1102
175,2,1103
176,2,1104
177,2,1105
178,2,1106
179,2,1107
180,2,1108
181,2,1109
182,2,1110
183,2,1111
184,2,1204
185,2,1205
186,2,1206
187,2,1207
188,2,1208
189,2,1209
190,1,1210
191,1,1211
192,1,1212
193,1,1213
194,0,1214
195,0,1215
196,1,1216
197,1,1217
198,2,1218
199,1,1219
200,2,1220
201,2,1221
202,2,1222
203,2,1223
204,2,1224
205,2,1225
206,2,1226
207,2,1227
208,2,1228
209,2,1296
210,2,1297
211,1,1321
212,2,1322
213,2,1323
214,2,1324
215,2,1325
216,2,1326
217,2,1327
218,2,1328
219,1,1329
220,1,1330
221,0,1331
222,0,1332
223,1,1333
224,2,1334
225,2,1335
226,2,1336
227,1,1337
228,2,1338
229,2,1339
230,2,1340
231,2,1341
232,2,1342
233,2,1343
234,2,1344
235,1,1345
236,1,1412
237,1,1413
238,1,1414
239,1,1415
240,1,1438
241,2,1439
242,2,1440
243,2,1441
244,2,1442
245,2,1443
246,2,1444
247,2,1445
248,1,1446
249,1,1447
250,1,1448
251,1,1449
252,1,1450
253,1,1451
254,1,1452
255,1,1453
256,1,1454
257,2,1455
258,2,1456
259,2,1457
260,2,1458
261,2,1459
262,2,1460
263,2,1461
264,1,1462
265,1,1463
266,1,1464
267,1,1528
268,1,1529
269,1,1530
270,1,1531
271,2,1532
272,1,1533
273,1,1534
274,1,1555
275,2,1556
276,2,1557
277,2,1558
278,2,1559
279,2,1560
280,2,1561
281,1,1562
282,2,1563
283,1,1564
284,1,1565
285,1,1566
286,1,1567
287,1,1568
288,2,1569
289,1,1570
290,2,1571
291,2,1572
292,2,1573
293,2,1574
294,2,1575
295,2,1576
296,2,1577
297,2,1578
298,1,1579
299,2,1580
300,2,1581
301,1,1645
302,1,1646
303,1,1647
304,1,1648
305,1,1649
306,2,1650
307,2,1651
308,2,1652
309,2,1653
310,2,1654
311,1,1672
312,1,1673
313,2,1674
314,2,1675
315,2,1676
316,2,1677
317,2,1678
318,1,1679
319,1,1680
320,1,1681
321,1,1682
322,0,1683
323,0,1684
324,1,1685
325,1,1686
326,1,1687
327,2,1688
328,2,1689
329,2,1690
330,2,1691
331,2,1692
332,2,1693
333,2,1694
334,2,1695
335,1,1696
336,1,1697
337,1,1763
338,1,1764
339,1,1765
340,1,1766
341,2,1767
342,2,1768
343,2,1769
344,1,1772
345,1,1790
346,1,1791
347,1,1792
348,1,1793
349,2,1794
350,1,1795
351,1,1796
352,1,1797
353,1,1798
354,0,1799
355,0,1800
356,1,1801
357,1,1802
358,1,1803
359,1,1804
360,2,1805
361,2,1806
362,2,1807
363,2,1808
364,2,1809
365,2,1810
366,2,1811
367,2,1812
368,2,1813
369,2,1814
370,2,1877
371,2,1878
372,0,1879
373,0,1880
374,1,1881
375,1,1882
376,1,1883
377,1,1884
378,2,1885
379,2,1887
380,2,1888
381,2,1889
382,1,1905
383,1,1906
384,1,1907
385,1,1908
386,1,1909
387,1,1910
388,2,1911
389,1,1912
390,1,1913
391,1,1914
392,1,1915
393,0,1916
394,1,1917
395,1,1918
396,0,1919
397,1,1920
398,1,1921
399,2,1922
400,2,1923
401,2,1924
402,2,1925
403,2,1926
404,2,1927
405,2,1928
406,2,1929
407,2,1930
408,2,1931
409,2,1994
410,2,1995
411,1,1996
412,1,1997
413,1,1998
414,1,1999
415,1,2000
416,1,2001
417,2,2002
418,2,2003
419,2,2004
420,2,2005
421,2,2006
422,2,2007
423,2,2008
424,2,2009
425,2,2010
426,1,2011
427,1,2013
428,2,2014
429,1,2016
430,1,2017
431,1,2018
432,1,2020
433,1,2021
434,1,2022
435,1,2023
436,1,2024
437,1,2025
438,1,2026
439,1,2027
440,1,2028
441,1,2029
442,1,2030
443,2,2031
444,1,2032
445,0,2033
446,0,2034
447,0,2035
448,0,2036
449,1,2037
450,2,2038
451,2,2039
452,2,2040
453,1,2041
454,2,2042
455,1,2043
456,2,2044
457,2,2045
458,2,2046
459,2,2047
460,2,2048
461,2,2049
462,2,2111
463,2,2112
464,2,2113
465,1,2114
466,1,2115
467,1,2116
468,1,2117
469,1,2118
470,2,2119
471,2,2120
472,2,2121
473,2,2122
474,2,2123
475,2,2124
476,2,2125
477,2,2126
478,2,2127
479,2,2128
480,1,2129
481,2,2130
482,2,2131
483,2,2132
484,1,2133
485,2,2134
486,2,2135
487,1,2136
488,0,2137
489,1,2138
490,1,2139
491,1,2140
492,1,2141
493,0,2142
494,0,2143
495,0,2144
496,0,2145
497,1,2146
498,0,2147
499,0,2148
500,0,2149
501,0,2150
502,0,2151
503,0,2152
504,0,2153
505,0,2154
506,2,2155
507,2,2156
508,0,2157
509,1,2158
510,1,2159
511,1,2160
512,1,2161
513,2,2162
514,2,2163
515,2,2164
516,2,2166
517,2,2167
518,2,2228
519,2,2229
520,2,2230
521,1,2231
522,1,2232
523,1,2233
524,1,2234
525,1,2235
