,pred,cellid
0,1,38
1,0,39
2,1,40
3,1,154
4,1,155
5,0,156
6,1,157
7,1,158
8,0,159
9,0,160
10,1,271
11,1,272
12,1,273
13,1,274
14,0,275
15,0,276
16,0,277
17,1,278
18,0,285
19,1,286
20,0,288
21,1,289
22,0,388
23,1,389
24,1,390
25,1,391
26,0,392
27,0,393
28,0,394
29,0,395
30,1,397
31,0,401
32,0,402
33,0,403
34,0,404
35,0,405
36,0,406
37,1,501
38,1,502
39,0,503
40,0,504
41,0,505
42,0,506
43,1,507
44,0,508
45,0,509
46,0,510
47,0,511
48,1,512
49,1,513
50,1,514
51,1,515
52,0,516
53,1,517
54,0,518
55,0,519
56,0,520
57,0,521
58,0,522
59,1,523
60,1,617
61,0,618
62,0,621
63,0,622
64,0,623
65,1,624
66,1,625
67,1,626
68,0,627
69,0,628
70,1,629
71,1,630
72,1,631
73,1,632
74,0,633
75,0,634
76,0,635
77,0,636
78,0,637
79,0,638
80,1,639
81,1,640
82,1,641
83,1,734
84,0,735
85,0,736
86,0,738
87,0,739
88,1,740
89,1,741
90,1,742
91,1,743
92,1,744
93,1,745
94,1,746
95,1,747
96,1,748
97,1,749
98,0,750
99,0,751
100,0,752
101,0,753
102,0,754
103,1,755
104,1,756
105,0,757
106,0,758
107,0,759
108,1,851
109,1,852
110,0,853
111,0,856
112,0,857
113,1,858
114,1,859
115,1,860
116,1,861
117,1,862
118,1,863
119,1,864
120,0,865
121,0,866
122,0,867
123,0,868
124,0,869
125,0,870
126,0,871
127,0,872
128,0,873
129,0,874
130,0,875
131,0,876
132,0,877
133,1,969
134,0,970
135,0,971
136,0,972
137,0,974
138,0,975
139,1,976
140,1,977
141,1,978
142,1,979
143,1,980
144,0,981
145,0,982
146,0,983
147,0,984
148,0,985
149,0,986
150,0,987
151,0,988
152,0,989
153,0,990
154,0,991
155,0,992
156,0,993
157,0,994
158,1,1086
159,0,1087
160,0,1088
161,0,1089
162,0,1090
163,0,1091
164,0,1092
165,1,1093
166,1,1094
167,1,1095
168,1,1096
169,2,1097
170,2,1098
171,1,1099
172,1,1100
173,0,1101
174,0,1102
175,0,1103
176,0,1104
177,0,1105
178,0,1106
179,0,1107
180,0,1108
181,0,1109
182,0,1110
183,0,1111
184,0,1204
185,0,1205
186,0,1206
187,0,1207
188,0,1208
189,0,1209
190,0,1210
191,1,1211
192,1,1212
193,1,1213
194,2,1214
195,2,1215
196,1,1216
197,1,1217
198,0,1218
199,1,1219
200,0,1220
201,0,1221
202,0,1222
203,0,1223
204,0,1224
205,0,1225
206,0,1226
207,0,1227
208,0,1228
209,0,1296
210,0,1297
211,0,1321
212,0,1322
213,0,1323
214,0,1324
215,0,1325
216,0,1326
217,0,1327
218,0,1328
219,1,1329
220,1,1330
221,2,1331
222,2,1332
223,1,1333
224,0,1334
225,0,1335
226,0,1336
227,0,1337
228,0,1338
229,0,1339
230,0,1340
231,0,1341
232,0,1342
233,0,1343
234,0,1344
235,1,1345
236,1,1412
237,1,1413
238,1,1414
239,1,1415
240,0,1438
241,0,1439
242,0,1440
243,0,1441
244,0,1442
245,0,1443
246,0,1444
247,0,1445
248,0,1446
249,1,1447
250,1,1448
251,1,1449
252,1,1450
253,1,1451
254,1,1452
255,1,1453
256,0,1454
257,0,1455
258,0,1456
259,0,1457
260,0,1458
261,0,1459
262,0,1460
263,0,1461
264,1,1462
265,1,1463
266,1,1464
267,1,1528
268,1,1529
269,1,1530
270,0,1531
271,0,1532
272,1,1533
273,0,1534
274,1,1555
275,0,1556
276,0,1557
277,0,1558
278,0,1559
279,0,1560
280,0,1561
281,1,1562
282,0,1563
283,1,1564
284,1,1565
285,1,1566
286,1,1567
287,1,1568
288,0,1569
289,1,1570
290,0,1571
291,0,1572
292,0,1573
293,0,1574
294,0,1575
295,0,1576
296,0,1577
297,0,1578
298,1,1579
299,0,1580
300,0,1581
301,1,1645
302,1,1646
303,1,1647
304,1,1648
305,0,1649
306,0,1650
307,0,1651
308,0,1652
309,0,1653
310,0,1654
311,1,1672
312,1,1673
313,0,1674
314,0,1675
315,0,1676
316,0,1677
317,0,1678
318,1,1679
319,1,1680
320,1,1681
321,1,1682
322,2,1683
323,2,1684
324,1,1685
325,1,1686
326,1,1687
327,0,1688
328,0,1689
329,0,1690
330,0,1691
331,0,1692
332,0,1693
333,0,1694
334,0,1695
335,0,1696
336,0,1697
337,1,1763
338,1,1764
339,1,1765
340,1,1766
341,0,1767
342,0,1768
343,0,1769
344,0,1772
345,1,1790
346,1,1791
347,1,1792
348,0,1793
349,0,1794
350,1,1795
351,1,1796
352,1,1797
353,1,1798
354,1,1799
355,2,1800
356,1,1801
357,1,1802
358,1,1803
359,0,1804
360,0,1805
361,0,1806
362,0,1807
363,0,1808
364,0,1809
365,0,1810
366,0,1811
367,0,1812
368,0,1813
369,0,1814
370,0,1877
371,0,1878
372,2,1879
373,2,1880
374,1,1881
375,1,1882
376,0,1883
377,1,1884
378,0,1885
379,0,1887
380,0,1888
381,0,1889
382,1,1905
383,1,1906
384,1,1907
385,1,1908
386,1,1909
387,1,1910
388,0,1911
389,1,1912
390,1,1913
391,1,1914
392,1,1915
393,2,1916
394,1,1917
395,1,1918
396,1,1919
397,1,1920
398,0,1921
399,0,1922
400,0,1923
401,0,1924
402,0,1925
403,0,1926
404,0,1927
405,0,1928
406,0,1929
407,0,1930
408,0,1931
409,0,1994
410,0,1995
411,1,1996
412,1,1997
413,1,1998
414,1,1999
415,1,2000
416,0,2001
417,0,2002
418,0,2003
419,0,2004
420,0,2005
421,0,2006
422,0,2007
423,0,2008
424,0,2009
425,0,2010
426,0,2011
427,1,2013
428,0,2014
429,1,2016
430,0,2017
431,1,2018
432,1,2020
433,1,2021
434,1,2022
435,1,2023
436,1,2024
437,1,2025
438,1,2026
439,1,2027
440,1,2028
441,1,2029
442,1,2030
443,0,2031
444,1,2032
445,2,2033
446,1,2034
447,2,2035
448,1,2036
449,1,2037
450,0,2038
451,0,2039
452,0,2040
453,1,2041
454,0,2042
455,1,2043
456,0,2044
457,0,2045
458,0,2046
459,0,2047
460,0,2048
461,0,2049
462,0,2111
463,0,2112
464,0,2113
465,1,2114
466,1,2115
467,1,2116
468,1,2117
469,1,2118
470,0,2119
471,0,2120
472,0,2121
473,0,2122
474,0,2123
475,0,2124
476,0,2125
477,0,2126
478,0,2127
479,0,2128
480,1,2129
481,0,2130
482,0,2131
483,0,2132
484,0,2133
485,0,2134
486,0,2135
487,1,2136
488,2,2137
489,1,2138
490,1,2139
491,1,2140
492,1,2141
493,2,2142
494,2,2143
495,1,2144
496,1,2145
497,1,2146
498,2,2147
499,2,2148
500,1,2149
501,2,2150
502,2,2151
503,1,2152
504,2,2153
505,1,2154
506,0,2155
507,0,2156
508,1,2157
509,1,2158
510,1,2159
511,1,2160
512,1,2161
513,0,2162
514,0,2163
515,0,2164
516,0,2166
517,0,2167
518,0,2228
519,0,2229
520,0,2230
521,1,2231
522,1,2232
523,1,2233
524,1,2234
525,1,2235
526,0,2236
527,0,2237
528,0,2238
529,0,2239
530,0,2240
531,0,2241
532,0,2242
533,0,2243
534,0,2244
535,0,2245
536,0,2246
537,0,2247
538,0,2248
539,0,2249
540,0,2250
541,1,2251
542,0,2252
543,1,2253
544,2,2254
545,2,2255
546,1,2256
547,1,2257
548,1,2258
549,1,2259
550,1,2260
551,1,2261
552,2,2262
553,1,2263
554,2,2264
555,2,2265
556,2,2266
557,2,2267
558,2,2268
559,1,2269
560,2,2270
561,2,2271
562,0,2272
563,1,2273
564,2,2274
565,1,2275
566,2,2276
567,1,2277
568,1,2278
569,0,2279
570,0,2280
571,0,2281
572,0,2282
573,0,2283
574,1,2284
575,0,2345
576,0,2346
577,0,2347
578,1,2348
579,1,2349
580,2,2350
581,1,2351
582,0,2352
583,0,2353
584,0,2354
585,0,2355
586,0,2356
587,0,2357
588,0,2358
589,0,2359
590,0,2360
591,0,2361
592,0,2362
593,0,2363
594,0,2364
595,0,2365
596,0,2366
597,0,2367
598,0,2368
599,0,2369
600,1,2370
601,2,2371
602,2,2372
603,1,2373
604,1,2374
605,1,2375
606,1,2376
607,1,2377
608,1,2378
609,1,2379
610,1,2380
611,2,2381
612,2,2382
613,2,2383
614,2,2384
615,2,2385
616,2,2386
617,1,2387
618,1,2388
619,0,2389
620,1,2390
621,1,2391
622,2,2392
623,1,2393
624,1,2394
625,1,2395
626,1,2396
627,0,2397
628,0,2398
629,0,2400
630,1,2401
631,0,2402
632,0,2462
633,0,2463
634,0,2464
635,0,2465
636,0,2466
637,1,2467
638,2,2468
639,0,2469
640,0,2470
641,0,2471
642,0,2472
643,0,2473
644,0,2474
645,0,2475
646,0,2476
647,0,2477
648,0,2478
649,0,2479
650,0,2480
651,0,2481
652,0,2482
653,0,2483
654,0,2484
655,0,2485
656,0,2486
657,0,2487
658,1,2488
659,2,2489
660,1,2490
661,1,2491
662,1,2492
663,1,2493
664,0,2494
665,0,2495
666,0,2496
667,1,2497
668,1,2498
669,1,2499
670,2,2500
671,2,2501
672,2,2502
673,2,2503
674,2,2504
675,1,2505
676,0,2506
677,0,2507
678,1,2508
679,1,2509
680,1,2510
681,1,2511
682,1,2512
683,1,2513
684,0,2514
685,0,2515
686,0,2516
687,1,2517
688,0,2518
689,0,2519
690,0,2578
691,0,2579
692,0,2580
693,0,2581
694,0,2582
695,0,2583
696,1,2584
697,1,2585
698,0,2586
699,1,2587
700,0,2588
701,0,2589
702,0,2590
703,0,2591
704,0,2592
705,0,2593
706,0,2594
707,0,2595
708,0,2596
709,0,2597
710,0,2598
711,0,2599
712,0,2600
713,0,2601
714,0,2602
715,0,2603
716,1,2604
717,2,2605
718,2,2606
719,1,2607
720,1,2608
721,1,2609
722,0,2610
723,1,2611
724,1,2612
725,0,2613
726,1,2614
727,1,2615
728,1,2616
729,1,2617
730,2,2618
731,2,2619
732,2,2620
733,2,2621
734,2,2622
735,1,2623
736,1,2624
737,1,2625
738,0,2626
739,0,2627
740,0,2628
741,0,2629
742,0,2630
743,1,2631
744,0,2632
745,0,2633
746,1,2634
747,0,2635
748,0,2636
749,0,2637
750,0,2695
751,0,2696
752,0,2697
753,0,2699
754,0,2700
755,1,2701
756,1,2702
757,0,2703
758,0,2704
759,0,2705
760,0,2706
761,0,2707
762,0,2708
763,1,2709
764,0,2710
765,0,2711
766,0,2712
767,0,2713
768,0,2714
769,0,2715
770,0,2716
771,0,2717
772,0,2718
773,1,2719
774,1,2720
775,2,2721
776,2,2722
777,2,2723
778,2,2724
779,2,2725
780,1,2726
781,1,2727
782,1,2728
783,1,2729
784,0,2730
785,0,2731
786,1,2732
787,1,2733
788,1,2734
789,2,2735
790,2,2736
791,2,2737
792,2,2738
793,2,2739
794,2,2740
795,2,2741
796,2,2742
797,0,2743
798,0,2744
799,0,2745
800,0,2746
801,0,2747
802,0,2748
803,1,2749
804,1,2750
805,0,2751
806,0,2752
807,0,2753
808,0,2754
809,0,2812
810,0,2813
811,0,2814
812,0,2815
813,0,2816
814,0,2817
815,0,2818
816,0,2819
817,0,2820
818,0,2821
819,0,2822
820,0,2823
821,0,2824
822,0,2825
823,1,2826
824,0,2827
825,0,2828
826,1,2829
827,0,2830
828,0,2831
829,0,2832
830,0,2833
831,0,2834
832,1,2835
833,1,2836
834,1,2837
835,2,2838
836,2,2839
837,2,2840
838,2,2841
839,2,2842
840,2,2843
841,1,2844
842,1,2845
843,1,2846
844,1,2847
845,0,2848
846,0,2849
847,1,2850
848,1,2851
849,2,2852
850,2,2853
851,2,2854
852,2,2855
853,2,2856
854,2,2857
855,2,2858
856,2,2859
857,2,2860
858,2,2861
859,1,2862
860,0,2863
861,1,2864
862,0,2865
863,0,2866
864,0,2867
865,0,2868
866,1,2869
867,1,2870
868,0,2871
869,0,2930
870,0,2931
871,0,2932
872,0,2933
873,0,2934
874,0,2935
875,0,2936
876,0,2937
877,0,2938
878,0,2939
879,0,2940
