cellid,hwf
4379,1
4380,0
4381,1
4382,1
4383,1
4384,1
4385,1
4386,1
4387,1
4388,1
4496,1
4497,1
4498,1
4499,0
4500,1
4501,2
4502,2
4503,2
4504,2
4505,2
4613,2
4614,2
4615,0
4616,0
4617,1
4618,1
4619,2
4620,2
4621,2
4622,2
4730,2
4731,1
4732,0
4733,0
4734,1
4735,1
4736,2
4737,2
4738,2
4739,2
4847,2
4848,1
4849,0
4850,0
4851,0
4852,1
4853,2
4854,2
4855,2
4856,2
4964,1
4965,1
4966,1
4967,1
4968,1
4969,1
4970,2
4971,2
4972,2
4973,2
5081,1
5082,1
5083,0
5084,1
5085,1
5086,1
5087,2
5088,2
5089,2
5090,1
5198,2
5199,1
5200,0
5201,1
5202,1
5203,1
5204,1
5205,1
5206,1
5207,1
5315,2
5316,1
5317,1
5318,1
5319,1
5320,1
5321,1
5322,2
5323,0
5324,0
5432,2
5433,0
5434,0
5435,1
5436,1
5437,1
5438,1
5439,1
5440,1
5441,0
