,predicted,cellid
0,1,4379
1,1,4380
2,1,4381
3,0,4382
4,0,4383
5,2,4384
6,2,4385
7,2,4386
8,2,4387
9,2,4388
10,2,4389
11,1,4390
12,1,4391
13,1,4392
14,1,4393
15,2,4496
16,1,4497
17,1,4498
18,1,4499
19,2,4500
20,1,4501
21,2,4502
22,2,4503
23,2,4504
24,2,4505
25,1,4506
26,2,4507
27,1,4508
28,1,4509
29,1,4510
30,2,4613
31,1,4614
32,2,4615
33,0,4616
34,0,4617
35,1,4618
36,1,4619
37,1,4620
38,2,4621
39,2,4622
40,1,4623
41,1,4624
42,2,4625
43,2,4626
44,2,4627
45,1,4730
46,2,4731
47,2,4732
48,2,4733
49,1,4734
50,1,4735
51,2,4736
52,2,4737
53,2,4738
54,1,4739
55,1,4740
56,1,4741
57,2,4742
58,2,4743
59,1,4744
60,2,4847
61,1,4848
62,2,4849
63,1,4850
64,2,4851
65,1,4852
66,1,4853
67,2,4854
68,2,4855
69,2,4856
70,1,4857
71,2,4858
72,1,4859
73,2,4860
74,1,4861
75,2,4964
76,2,4965
77,1,4966
78,1,4967
79,1,4968
80,1,4969
81,2,4970
82,2,4971
83,2,4972
84,2,4973
85,1,4974
86,1,4975
87,2,4976
88,1,4977
89,1,4978
90,1,5081
91,2,5082
92,1,5083
93,1,5084
94,1,5085
95,1,5086
96,2,5087
97,2,5088
98,1,5089
99,2,5090
100,2,5091
101,2,5092
102,1,5093
103,1,5094
104,2,5095
105,1,5198
106,1,5199
107,1,5200
108,1,5201
109,1,5202
110,1,5203
111,2,5204
112,1,5205
113,2,5206
114,2,5207
115,1,5208
116,2,5209
117,1,5210
118,1,5211
119,2,5212
120,2,5315
121,2,5316
122,1,5317
123,1,5318
124,2,5319
125,1,5320
126,2,5321
127,1,5322
128,0,5323
129,0,5324
130,2,5325
131,2,5326
132,1,5327
133,1,5328
134,2,5329
135,2,5432
136,0,5433
137,1,5434
138,1,5435
139,2,5436
140,2,5437
141,1,5438
142,2,5439
143,0,5440
144,0,5441
145,1,5442
146,1,5443
147,1,5444
148,1,5445
149,1,5446
150,2,5549
151,0,5550
152,0,5551
153,1,5552
154,2,5553
155,2,5554
156,2,5555
157,2,5556
158,2,5557
159,2,5558
160,1,5559
161,2,5560
162,1,5561
163,1,5562
164,2,5563
165,0,5666
166,1,5667
167,0,5668
168,2,5669
169,1,5670
170,1,5671
171,1,5672
172,2,5673
173,2,5674
174,1,5675
175,1,5676
176,1,5677
177,2,5678
178,1,5679
179,2,5680
180,2,5761
181,2,5762
182,2,5763
183,2,5764
184,2,5765
185,0,5783
186,0,5784
187,0,5785
188,1,5786
189,2,5787
190,1,5788
191,2,5789
192,2,5790
193,2,5791
194,2,5792
195,1,5793
196,1,5794
197,1,5795
198,2,5796
199,2,5797
200,2,5878
201,2,5879
202,2,5880
203,2,5881
204,2,5882
205,0,5900
206,1,5901
207,1,5902
208,1,5903
209,2,5904
210,2,5905
211,2,5906
212,2,5907
213,2,5908
214,1,5909
215,2,5910
216,1,5911
217,1,5912
218,1,5913
219,2,5914
220,2,5995
221,2,5996
222,2,5997
223,2,5998
224,2,5999
225,0,6017
226,2,6018
227,1,6019
228,1,6020
229,2,6021
230,2,6022
231,1,6023
232,2,6024
233,2,6025
234,1,6026
235,1,6027
236,1,6028
237,1,6029
238,2,6030
239,2,6031
240,2,6112
241,2,6113
242,2,6114
243,2,6115
244,2,6116
245,1,6229
246,2,6230
247,2,6231
248,2,6232
249,2,6233
