,predicted,cellid
0,1,4379
1,2,4380
2,1,4381
3,1,4382
4,1,4383
5,0,4384
6,2,4385
7,2,4386
8,2,4387
9,2,4388
10,0,4496
11,2,4497
12,0,4498
13,1,4499
14,1,4500
15,0,4501
16,1,4502
17,2,4503
18,2,4504
19,2,4505
20,2,4613
21,1,4614
22,1,4615
23,0,4616
24,2,4617
25,1,4618
26,2,4619
27,1,4620
28,1,4621
29,1,4622
30,1,4730
31,1,4731
32,2,4732
33,0,4733
34,1,4734
35,1,4735
36,1,4736
37,1,4737
38,2,4738
39,1,4739
40,1,4847
41,1,4848
42,1,4849
43,1,4850
44,2,4851
45,1,4852
46,1,4853
47,2,4854
48,0,4855
49,2,4856
50,1,4964
51,1,4965
52,1,4966
53,1,4967
54,1,4968
55,1,4969
56,1,4970
57,1,4971
58,2,4972
59,2,4973
60,1,5081
61,1,5082
62,1,5083
63,1,5084
64,1,5085
65,1,5086
66,1,5087
67,1,5088
68,1,5089
69,2,5090
70,1,5198
71,1,5199
72,1,5200
73,1,5201
74,1,5202
75,1,5203
76,2,5204
77,1,5205
78,2,5206
79,1,5207
80,2,5315
81,1,5316
82,1,5317
83,1,5318
84,1,5319
85,1,5320
86,1,5321
87,2,5322
88,0,5323
89,0,5324
90,1,5432
91,1,5433
92,1,5434
93,1,5435
94,2,5436
95,1,5437
96,1,5438
97,2,5439
98,0,5440
99,0,5441
