,predicted,cellid
0,1,4379
1,2,4380
2,1,4381
3,1,4382
4,1,4383
5,0,4384
6,1,4385
7,1,4386
8,1,4387
9,2,4388
10,2,4389
11,1,4390
12,0,4496
13,2,4497
14,0,4498
15,1,4499
16,2,4500
17,0,4501
18,1,4502
19,2,4503
20,1,4504
21,1,4505
22,1,4506
23,2,4507
24,2,4613
25,1,4614
26,0,4615
27,0,4616
28,2,4617
29,2,4618
30,1,4619
31,0,4620
32,1,4621
33,1,4622
34,1,4623
35,1,4624
36,1,4730
37,1,4731
38,0,4732
39,0,4733
40,1,4734
41,1,4735
42,1,4736
43,1,4737
44,2,4738
45,1,4739
46,1,4740
47,1,4741
48,2,4847
49,1,4848
50,1,4849
51,1,4850
52,1,4851
53,1,4852
54,1,4853
55,1,4854
56,0,4855
57,1,4856
58,1,4857
59,1,4858
60,1,4964
61,2,4965
62,1,4966
63,0,4967
64,1,4968
65,1,4969
66,1,4970
67,1,4971
68,2,4972
69,2,4973
70,1,4974
71,1,4975
72,2,5081
73,1,5082
74,1,5083
75,1,5084
76,1,5085
77,1,5086
78,1,5087
79,2,5088
80,2,5089
81,2,5090
82,2,5091
83,2,5092
84,1,5198
85,1,5199
86,1,5200
87,1,5201
88,1,5202
89,1,5203
90,2,5204
91,1,5205
92,2,5206
93,1,5207
94,0,5208
95,2,5209
96,1,5315
97,1,5316
98,0,5317
99,0,5318
100,1,5319
101,1,5320
102,1,5321
103,2,5322
104,0,5323
105,0,5324
106,1,5325
107,1,5326
108,1,5432
109,1,5433
110,1,5434
111,1,5435
112,2,5436
113,1,5437
114,1,5438
115,1,5439
116,0,5440
117,0,5441
118,1,5442
119,1,5443
120,1,5549
121,1,5550
122,1,5551
123,1,5552
124,1,5553
125,2,5554
126,1,5555
127,1,5556
128,1,5557
129,1,5558
130,1,5559
131,2,5560
132,1,5666
133,1,5667
134,1,5668
135,2,5669
136,1,5670
137,2,5671
138,1,5672
139,2,5673
140,2,5674
141,1,5675
142,1,5676
143,1,5677
