,predicted,cellid
0,1,4379
1,1,4380
2,1,4381
3,2,4382
4,2,4383
5,0,4384
6,1,4385
7,1,4386
8,1,4387
9,1,4388
10,1,4389
11,1,4390
12,2,4496
13,2,4497
14,2,4498
15,2,4499
16,1,4500
17,0,4501
18,1,4502
19,1,4503
20,1,4504
21,1,4505
22,1,4506
23,2,4507
24,1,4613
25,2,4614
26,2,4615
27,2,4616
28,1,4617
29,1,4618
30,1,4619
31,2,4620
32,1,4621
33,1,4622
34,1,4623
35,1,4624
36,2,4730
37,2,4731
38,1,4732
39,2,4733
40,1,4734
41,1,4735
42,2,4736
43,1,4737
44,1,4738
45,1,4739
46,1,4740
47,1,4741
48,2,4847
49,2,4848
50,1,4849
51,1,4850
52,1,4851
53,1,4852
54,1,4853
55,2,4854
56,1,4855
57,1,4856
58,1,4857
59,1,4858
60,1,4964
61,2,4965
62,1,4966
63,1,4967
64,1,4968
65,1,4969
66,1,4970
67,1,4971
68,2,4972
69,2,4973
70,1,4974
71,1,4975
72,1,5081
73,1,5082
74,1,5083
75,1,5084
76,1,5085
77,1,5086
78,1,5087
79,1,5088
80,2,5089
81,2,5090
82,2,5091
83,1,5092
84,1,5198
85,1,5199
86,1,5200
87,1,5201
88,1,5202
89,1,5203
90,1,5204
91,1,5205
92,2,5206
93,1,5207
94,2,5208
95,1,5209
96,2,5315
97,1,5316
98,1,5317
99,1,5318
100,1,5319
101,1,5320
102,1,5321
103,1,5322
104,1,5323
105,1,5324
106,1,5325
107,2,5326
108,1,5432
109,1,5433
110,1,5434
111,1,5435
112,2,5436
113,2,5437
114,1,5438
115,1,5439
116,1,5440
117,1,5441
118,1,5442
119,1,5443
120,2,5549
121,1,5550
122,1,5551
123,1,5552
124,1,5553
125,2,5554
126,1,5555
127,1,5556
128,2,5557
129,1,5558
130,1,5559
131,1,5560
132,2,5666
133,1,5667
134,1,5668
135,2,5669
136,2,5670
137,1,5671
138,1,5672
139,2,5673
140,1,5674
141,1,5675
142,2,5676
143,1,5677
